t,periodic_func
0,0
1,9.42477796076938
2,9.424777960769392
3,9.424777960769402
4,9.424777960769415
5,9.424777960769426
6,9.424777960769438
7,9.424777960769449
8,9.424777960769461
9,9.424777960769472
10,9.424777960769484
11,9.424777960769495
12,9.424777960769841
13,9.424777960769518
14,9.424777960769195
15,9.424777960769541
16,9.424777960769887
17,9.424777960769564
18,9.42477796076924
19,9.424777960769587
20,9.424777960769934
21,9.42477796076961
22,9.424777960769287
23,9.424777960770303
24,9.42477796076998
25,9.424777960769656
26,9.424777960769333
27,9.42477796076901
28,9.424777960770026
29,9.4247779607697
30,9.42477796076938
31,9.424777960770394
32,9.424777960770072
33,9.424777960769747
34,9.424777960769426
35,9.424777960769102
36,9.424777960770118
37,9.424777960769795
38,9.424777960769472
39,9.424777960770488
40,9.424777960770164
41,9.424777960769841
42,9.424777960770857
43,9.424777960769195
44,9.42477796077021
45,9.424777960771227
46,9.424777960769564
47,9.42477796077058
48,9.424777960768917
49,9.424777960769934
50,9.42477796077095
51,9.424777960769287
52,9.424777960770303
53,9.42477796076864
54,9.424777960769656
55,9.424777960770673
56,9.42477796076901
57,9.424777960770026
58,9.42477796077104
59,9.42477796076938
60,9.424777960770394
61,9.424777960771412
62,9.424777960769747
63,9.424777960770765
64,9.424777960769102
65,9.424777960770118
66,9.424777960771133
67,9.424777960769472
68,9.424777960770488
69,9.424777960768825
70,9.424777960769841
71,9.424777960770857
72,9.424777960769195
73,9.42477796077021
74,9.424777960771227
75,9.424777960769564
76,9.42477796077058
77,9.424777960771596
78,9.424777960769934
79,9.42477796077095
80,9.424777960769287
81,9.424777960770303
82,9.42477796077132
83,9.424777960772333
84,9.424777960767994
85,9.42477796076901
86,9.424777960770026
87,9.42477796077104
88,9.424777960772058
89,9.424777960773072
90,9.424777960768733
91,9.424777960769747
92,9.424777960770765
93,9.42477796077178
94,9.424777960772797
95,9.424777960768456
96,9.424777960769472
97,9.424777960770486
98,9.424777960771504
99,9.42477796077252
100,9.424777960768179
101,9.424777960769195
102,9.42477796077021
103,9.424777960771227
104,9.424777960772243
105,9.424777960767901
106,9.424777960768917
107,9.424777960769934
108,9.42477796077095
109,9.424777960771966
110,9.424777960772982
111,9.42477796076864
112,9.424777960769656
113,9.424777960770673
114,9.424777960771687
115,9.424777960772705
116,9.424777960768363
117,9.42477796076938
118,9.424777960770394
119,9.424777960771412
120,9.424777960772426
121,9.424777960773444
122,9.424777960769102
123,9.424777960770118
124,9.424777960771133
125,9.42477796077215
126,9.424777960773165
127,9.424777960768825
128,9.42477796076984
129,9.424777960770857
130,9.424777960771872
131,9.42477796077289
132,9.424777960768548
133,9.424777960769564
134,9.42477796077058
135,9.424777960771596
136,9.424777960772612
137,9.424777960768271
138,9.424777960769287
139,9.424777960770303
140,9.42477796077132
141,9.424777960772333
142,9.424777960773351
143,9.424777960769008
144,9.424777960770026
145,9.42477796077104
146,9.424777960772058
147,9.424777960773072
148,9.424777960768733
149,9.424777960769747
150,9.424777960770765
151,9.42477796077178
152,9.424777960772797
153,9.424777960773811
154,9.424777960769472
155,9.424777960770486
156,9.424777960771504
157,9.424777960772518
